Engagement Type,"Primary Output
(pick ONE)",Year,"COUNTA of Primary Output
(pick ONE)"
Common Voice Fellows,not available,2021,3
Fellow in Residence,not available,2021,1
MOSS,not available,2021,8
Non Cohort Fellows,Curriculum or Educational Resource,2021,1
Non Cohort Fellows,Public Resource,2021,2
Responsible CS Challenge,Curriculum or Educational Resource,2021,17
Tech + Society Fellows,Curriculum or Educational Resource,2021,1
Tech + Society Fellows,policy recommendations,2021,1
Tech + Society Fellows,Public Resource,2021,6
Tech + Society Fellows,Software,2021,1
Web Monetization Fellows,Public Resource,2021,1
Web Monetization Fellows,Research,2021,1